"Principal tunas Atlantic","Americas","Longline","0","-","0","-","7","","1","","0","-","5","","0","-","704","","2830","","9594","","8711","","8159","","6244","","9495","","6840","","5744","","5871","","9830","","9081","","6982","","9436","","8130","","9702","","22093","","13193","","10743","","13988","","13102","","14147","","10767","","17674","","13743","","14858","","16059","","20693","","20524","","26765","","23025","","22489","","16339","","18398","","19314","","24158","","22863","","22780","","22436","","18444","","13330","","11959","","14542","","22590","","27029","","17467","","15248","","15877","","14366","","16634","","15667","","13401","","14377","","14191",""
"Principal tunas Atlantic","Americas","Other gears","1006","","1154","","809","","1083","","775","","539","","398","","802","","1480","","506","","415","","644","","980","","1910","","1611","","1971","","4899","","2432","","1824","","1901","","1880","","2102","","2168","","1666","","4144","","1841","","2462","","3667","","2893","","4604","","2316","","3598","","3290","","5756","","6446","","8290","","10140","","7613","","5654","","6119","","4654","","6998","","6829","","7833","","13827","","16353","","8337","","8095","","7457","","7885","","7585","","10485","","6690","","8630","","9022","","6466","","8722","","8615","","3611","","5661","","5616",""
"Principal tunas Atlantic","Americas","Pole and line","0","-","0","-","1229","","1281","","1370","","1396","","1503","","1955","","1450","","1830","","3263","","2995","","1249","","668","","671","","981","","951","","1155","","1607","","1255","","1800","","1600","","2639","","1784","","4298","","5292","","6479","","7565","","5333","","6181","","11508","","20186","","28601","","26359","","21789","","34860","","27822","","24340","","27014","","28194","","27053","","29683","","27227","","26389","","30191","","23266","","28314","","31147","","30644","","30235","","33412","","31366","","25262","","26807","","29398","","30219","","26604","","26152","","21836","","24218","","14482",""
"Principal tunas Atlantic","Americas","Purse seine","1","","100","","0","-","0","-","55","","0","-","0","-","0","-","138","","781","","277","","903","","4231","","8978","","9675","","3454","","1692","","5050","","11538","","25988","","26040","","26192","","27072","","28284","","27960","","24888","","7239","","15435","","22039","","8281","","14603","","16849","","23765","","37134","","37255","","33317","","16744","","12773","","9631","","15128","","10684","","36639","","36473","","53560","","53033","","39094","","40519","","38831","","33813","","29396","","32253","","41252","","23596","","26772","","33716","","35224","","47913","","48170","","46392","","45707","","51397",""
"Principal tunas Atlantic","Americas","Troll line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","276","","41","","0","-","0","-","0","-","0","-","0","-","5","","6","","19","","45","","79","","45","","282","","462","","267","","180","","351","","248","","134","","151","","273","","319","","301","","256","","187","","0","-","0","-","0","-","71","","460","","532","","584","","455","","355","","409","","239","","588",""
"Principal tunas Atlantic","Asia","Longline","0","-","0","-","0","-","0","-","0","-","0","-","645","","14578","","29638","","49419","","64373","","63507","","83849","","90217","","105258","","118480","","78817","","53069","","73274","","90954","","86782","","102476","","99506","","93182","","92539","","89362","","79800","","84174","","73984","","68697","","75028","","79429","","98616","","62863","","69692","","92546","","87669","","69085","","73994","","81219","","83316","","82669","","85352","","87430","","105766","","94581","","98816","","82285","","80034","","86806","","88591","","76348","","75307","","87439","","82670","","64023","","57038","","73281","","62951","","59837","","60794",""
"Principal tunas Atlantic","Asia","Other gears","0","-","0","-","0","-","0","-","0","-","0","-","0","-","800","","400","","500","","300","","300","","200","","100","","0","-","100","","100","","1488","","310","","393","","138","","22","","68","","66","","34","","17","","181","","177","","127","","27","","391","","565","","825","","557","","869","","0","-","0","-","0","-","0","-","0","-","2292","","25","","22","","14","","0","-","1","","14","","0","-","0","-","0","-","6","","0","-","12","","12","","13","","88","","56","","17","","216","","634","","402",""
"Principal tunas Atlantic","Asia","Pole and line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2732","","5491","","5246","","7722","","4835","","5419","","10141","","6182","","8507","","14205","","14574","","23481","","34214","","13177","","23978","","25820","","26703","","32441","","22760","","24776","","13775","","7274","","1531","","250","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Principal tunas Atlantic","Asia","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","487","","2936","","6260","","7477","","14131","","6646","","4929","","8703","","6521","","3107","","1893","","288","","0","-","0","-","0","-","0","-","0","-","0","-","2250","","2733","","2906","","5267","","4713","","6143","","7164","","6161","","6534","","9566","","6626","","3084","","3466","","4219","","4616","","5093","","5899","","1200","","1070","","2100","","2300","","3300","","1896","","2165","","879","","2094","","1391","","767","","444",""
"Principal tunas Atlantic","Europe","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","19","","0","-","800","","363","","434","","541","","341","","657","","485","","276","","214","","124","","274","","213","","1658","","1830","","1691","","268","","223","","124","","245","","956","","489","","494","","629","","514","","417","","936","","1049","","1432","","1806","","1632","","1556","","2912","","4088","","4215","","4160","","1923","","3718","","5894","","5197","","6839","","6676","","4472","","4642","","6420","","8269","","6665","","5461","","4807",""
